MajorCollege,Major,CumulativeGPA,TotalLoansAccepted,TotalGrantsAccepted,TotalScholarshipsAccepted,GraduateCount,GPA_Score,Loan_Score,Graduate_Score,EmployabilityScore,NationalAvgDebt
"Col of Science, Engr & Tech",Aviation Science Management,2.9367284916201117,7018.7692307692305,3536.735409836065,1791.55,179,0.5446378471998454,0.7704728706451148,0.3079584775086505,0.5413845433260678,33000.0
"Col of Science, Engr & Tech",Biology,2.7191607913669062,7890.76399026764,3886.333835616438,1815.934440433213,556,0.4319274956488057,0.7190711459669851,0.9602076124567475,0.676554625786642,27500.0
"Col of Science, Engr & Tech",Chemistry,3.019986585365854,7148.140350877193,4386.516507936508,2806.6339344262296,82,0.5877694747559157,0.7628467941983758,0.14013840830449828,0.5060033506532285,26000.0
"Col of Science, Engr & Tech",Civil Engineering,2.655766336633663,7759.603448275862,3733.02975,1868.4203773584904,101,0.399086171908863,0.7268027039776934,0.17301038062283738,0.42957839414370447,31000.0
"Col of Science, Engr & Tech",Civil Engineering Technology,2.1057555555555556,7458.875,3874.75,750.0,9,0.11415459235900705,0.7445298298953409,0.01384083044982699,0.2731730350471532,
"Col of Science, Engr & Tech",Computer Engineering Tech,2.4101,7740.648648648648,3801.8636363636365,1726.9630769230769,56,0.2718193986975288,0.7279200379767276,0.09515570934256055,0.35565048367479796,
"Col of Science, Engr & Tech",Computer Science,2.681215384615385,7314.972972972973,3853.187860962567,1853.3995652173915,234,0.41226998155211847,0.7530124638714015,0.40311418685121103,0.5117459878376311,32000.0
"Col of Science, Engr & Tech",Computer Science (MS),3.3305363636363636,11222.6,,2533.552857142857,22,0.7486489372966836,0.5226684550340083,0.03633217993079585,0.46715976540811466,
"Col of Science, Engr & Tech",Electrical and Computer Engr.,2.647683505154639,7064.615384615385,4246.87472972973,1857.8227777777777,97,0.39489888318692334,0.767770364291858,0.1660899653979239,0.43811765218170384,
"Col of Science, Engr & Tech",Electronics Engineering Tech,2.601246153846154,6157.6,3549.268,1912.9266666666665,13,0.37084214045816744,0.8212364597826681,0.020761245674740487,0.4009361678204895,
